,X,swadesh.english,swadesh.language,swadesh.handshape,swadesh.twohands,swadesh.handpart,swadesh.poa,swadesh.bodypart,swadesh.pmv,swadesh.mmv,swadesh.mmvrepeated,swadesh.dmvhandshape,swadesh.dmvorientation,swadesh.compound,swadesh.shape,swadesh.domhand,swadesh.ndhandshape,swadesh.chandshape,swadesh.twohandsC,swadesh.poac,swadesh.bodypartc,swadesh.pmvc,swadesh.mmvc,swadesh.mmvcrepeated,swadesh.dmvchandshape,swadesh.dmvcorientation,HScollapsed,poabodypartmerge
407,407,count,Spanish,5,true,palm,Horizontal,NA,Y_down,straight,false,true,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
408,408,dance,Spanish,5,false,tip,NA,Torso,Z_back,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Torso
409,409,day,Spanish,1_nb,false,tip,NA,Head,Z_back,straight,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y1,Head
410,410,die,Spanish,B,false,back_of_palm,Horizontal,NA,UNDEF,UNDEF,false,false,true,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Horizontal
411,411,dirty,Spanish,B,false,radial_side,NA,Head,Z_front,straight,true,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Head
412,412,dog,Spanish,5_b,false,finger_fronts,NA,Head,Y_down,straight,true,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
413,413,dry,Spanish,5,true,back_of_palm,Horizontal,NA,Y_down,straight,false,true,false,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
414,414,earth,Spanish,5,true,radial_side,Lateral,NA,Y_down,arc,false,false,true,false,UNDEF,right,5,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
415,415,egg,Spanish,5_b,true,back_of_fingers,Lateral,NA,UNDEF,UNDEF,true,false,true,false,UNDEF,right,5_b,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Lateral
416,416,father,Spanish,B,false,radial_side,NA,Head,Y_down,arc,false,false,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n4,Head
417,417,fire,Spanish,5_nb,true,back_of_palm,Horizontal,NA,Y_up,straight,true,false,false,false,UNDEF,right,5_nb,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Horizontal
418,418,fish,Spanish,H,false,ulnar_side,Horizontal,NA,X_left,straight,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,n2,Horizontal
419,419,flower,Spanish,E_bnb,false,tip,NA,Head,Z_front,arc,false,true,false,false,UNDEF,right,UNDEF,UNDEF,false,UNDEF,UNDEF,UNDEF,UNDEF,false,false,false,y4,Head
